kubeforge_lab_id,lab_title,internals_module,internals_module_title,internals_section,internals_section_anchor,link_text
c5,Enforce mTLS in the payments namespace with Istio,9,Networking Internals & kube-proxy Modes,Service mesh and eBPF datapath,service-mesh-and-ebpf-datapath,How Istio intercepts pod traffic for mTLS →
c6,Fix an ArgoCD Application hammering the GitHub API,3,Controllers & Reconciliation,The reconcile loop pattern,the-reconcile-loop-pattern,Why runaway reconcile loops exhaust external APIs →
c7,Enforce no-privileged-containers with Kyverno,7,Admission Control & CEL Policy,Policy engines — OPA Kyverno and CEL,policy-engines--opa-kyverno-and-cel,How Kyverno enforces policy at admission time →
c8,Restore a namespace from a Velero backup,6,CRI CNI CSI — The Three Interfaces,CSI — Container Storage Interface,csi--container-storage-interface,How Velero snapshots storage via CSI hooks →
c9,Boss Lab — ArgoCD repo-server bottleneck,3,Controllers & Reconciliation,The reconcile loop pattern,the-reconcile-loop-pattern,How controller throughput affects cluster convergence →
d1,Configure Karpenter NodePools for different workload types,4,Scheduler Internals & Custom Plugins,Karpenter — scheduling without the scheduler,karpenter--scheduling-without-the-scheduler,How Karpenter bypasses kube-scheduler for node provisioning →
d2,Fix ENI exhaustion with VPC CNI prefix delegation,6,CRI CNI CSI — The Three Interfaces,CNI — Container Network Interface,cni--container-network-interface,How VPC CNI assigns IPs to pods on EKS →
d3,Migrate from IRSA to EKS Pod Identity,1,API Request Lifecycle,Authentication — who are you?,authentication--who-are-you,How pod identity maps to AWS IAM credentials →
d4,Configure an internet-facing ALB with AWS Load Balancer Controller,9,Networking Internals & kube-proxy Modes,Ingress controllers and traffic routing,ingress-controllers-and-traffic-routing,How the AWS LBC translates Ingress objects to ALB rules →
d5,Fix Karpenter's over-aggressive consolidation,4,Scheduler Internals & Custom Plugins,Karpenter — scheduling without the scheduler,karpenter--scheduling-without-the-scheduler,Why Karpenter's scoring model triggers consolidation →
d6,Enable EKS Auto Mode with the correct NodeClass reference,8,CRDs Operators & controller-runtime,CRD registration and the extension API server,crd-registration-and-the-extension-api-server,How NodeClass CRDs configure EKS Auto Mode →
d7,Add PodDisruptionBudgets before an EKS version upgrade,10,HA Upgrades & Cluster Lifecycle,Cluster upgrades and node draining,cluster-upgrades-and-node-draining,How PDBs protect pods during node drain →
d8,Configure cross-account ECR access,1,API Request Lifecycle,Authentication — who are you?,authentication--who-are-you,How ECR image pulls authenticate at the API level →
d9,Fix ECR lifecycle policy to protect multi-arch images,6,CRI CNI CSI — The Three Interfaces,CRI — Container Runtime Interface,cri--container-runtime-interface,How the CRI pulls images and resolves multi-arch manifests →
d10,Enable kubelet volume metrics for EKS observability,5,Kubelet PLEG & Node Lifecycle,Kubelet metrics and the metrics pipeline,kubelet-metrics-and-the-metrics-pipeline,How kubelet exposes volume metrics to the metrics server →
d11,Fix Fargate pod scheduling failure,5,Kubelet PLEG & Node Lifecycle,Node registration and DaemonSet scheduling,node-registration-and-daemonset-scheduling,How Fargate virtual nodes differ from EC2 kubelet nodes →
d12,Optimize EKS costs with Spot + Karpenter consolidation,4,Scheduler Internals & Custom Plugins,Karpenter — scheduling without the scheduler,karpenter--scheduling-without-the-scheduler,How Karpenter's consolidation loop evaluates Spot interruptions →
d13,ShopEKS Revival — Phase D Capstone,1,API Request Lifecycle,The API server request pipeline,the-api-server-request-pipeline,How every fix you apply flows through the K8s API →
